/loggedin/mechquest/q000_namedescription.aspx	Scenario Overview — Name and Description
/loggedin/mechquest/q000_namedescription.aspx	Label this scenario:
/loggedin/mechquest/q000_namedescription.aspx	Name
/loggedin/mechquest/q000_namedescription.aspx	Description
/loggedin/mechquest/q000_namedescription.aspx	(Untitled scenario)
/loggedin/mechquest/q000_namedescription.aspx	Cancel
/loggedin/mechquest/q000_namedescription.aspx	Notes
/loggedin/mechquest/q000_namedescription.aspx	Appropriate labelling of your scenario will enable you to locate it more easily at a later date.
/loggedin/mechquest/q000_namedescription.aspx	Next
/loggedin/mechquest/q000_namedescription.aspx	Notes/Comments/Justifications
/loggedin/mechquest/q000_namedescription.aspx	Click to edit notes, comments and justifications
/loggedin/mechquest/q001_chemicalname.aspx	Scenario Overview — Chemical Name
/loggedin/mechquest/q001_chemicalname.aspx	For which (chemical) substance would you like to perform the exposure assessment?
/loggedin/mechquest/q001_chemicalname.aspx	ZZ-DELETE-ME-i18n
/loggedin/mechquest/q001_chemicalname.aspx	The chemical name field is for your information only.
/loggedin/mechquest/q001_chemicalname.aspx	The substance can be a single chemical substance, but also broader categories like ‘wood dust’, ‘inhalable dust’ or complex mixtures such as petroleum products.
/loggedin/mechquest/q001_chemicalname.aspx	Previous
/loggedin/mechquest/q001_chemicalname.aspx	Scenario Overview — CAS No.
/loggedin/mechquest/q001_chemicalname.aspx	If the substance has a CAS number, please enter it here:
/loggedin/mechquest/q001_chemicalname.aspx	Cas No.
/loggedin/mechquest/q001_chemicalname.aspx	Check CAS No.
/loggedin/mechquest/q001_chemicalname.aspx	Chemical Structure
/loggedin/mechquest/q001_chemicalname.aspx	More info
/loggedin/mechquest/q001_chemicalname.aspx	The CAS No. field is for your information only. You can verify the CAS number by clicking the link to Chemspider.
/loggedin/mechquest/q002_7_activities.aspx	Scenario Overview — Configure Activities
/loggedin/mechquest/q002_7_activities.aspx	Enable/
/loggedin/mechquest/q002_7_activities.aspx	Disable
/loggedin/mechquest/q002_7_activities.aspx	Name & Duration
/loggedin/mechquest/q002_7_activities.aspx	Quick
/loggedin/mechquest/q002_7_activities.aspx	Revision
/loggedin/mechquest/q002_7_activities.aspx	(untitled)
/loggedin/mechquest/q002_7_activities.aspx	0 min
/loggedin/mechquest/q002_7_activities.aspx	Configure activity...
/loggedin/mechquest/q002_7_activities.aspx	Non-exposure period (optional)
/loggedin/mechquest/q002_7_activities.aspx	Total duration =
/loggedin/mechquest/q002_7_activities.aspx	min
/loggedin/mechquest/q002_7_activities.aspx	Your scenario can consist of up to four activities. Assign each activity a name and duration in minutes. The activities together represent one working day and therefore the total duration should be around 480 minutes. ART assessments are still possible if the duration deviates from 480 minutes, but estimates should be treated with some caution as ART variability estimates are based on shift measurements.
/loggedin/mechquest/q002_7_activities.aspx	If applicable, a non-exposure period can be used and should be assigned a duration in minutes.
/loggedin/mechquest/q002_7_activities.aspx	Next to each activity name is a tick or cross, indicating whether the activity is ready for use.
/loggedin/mechquest/q002_7_activities.aspx	Click
/loggedin/mechquest/q002_7_activities.aspx	Configure Activity
/loggedin/mechquest/q002_7_activities.aspx	to continue configuring your scenario until each activity has a tick next to it. You will then be able to click the Finish button and run the mechanistic model.
/loggedin/mechquest/q002_7_activities.aspx	*Warning! Model is optimised for 480 minute exposure period.
/loggedin/mechquest/q002_7_activities.aspx	Finish & Run
/loggedin/mechquest/q002_7_activities.aspx	Click to enable activity
/loggedin/mechquest/q002_7_activities.aspx	Click to disable activity
/loggedin/mechquest/q002_7_activities.aspx	Edit name of activity
/loggedin/mechquest/q002_7_activities.aspx	Edit duration of activity
/loggedin/mechquest/q002_7_activities.aspx	Activity is configured
/loggedin/mechquest/q002_7_activities.aspx	Activity is not configured
/loggedin/mechquest/q002_7_activities.aspx	Start workflow questionnaire for this activity
/loggedin/mechquest/q002_7_activities.aspx	Click for quick revision options
/loggedin/mechquest/q002_7_activities.aspx	Edit non-exposure period
/loggedin/mechquest/q002_7_activities.aspx	Help on enabling an activity
/loggedin/mechquest/q002_7_activities.aspx	Help on name and duration
/loggedin/mechquest/q003_090_producttype.aspx	Primary Emission Source —
/loggedin/mechquest/q003_090_producttype.aspx	Product Type
/loggedin/mechquest/q003_090_producttype.aspx	What is the product type of the substance/preparation?
/loggedin/mechquest/q003_090_producttype.aspx	Powders, granules or pelletised material
/loggedin/mechquest/q003_090_producttype.aspx	This category also includes liquids incorporated in granular or pelletised material (e.g. preservative in wood chips).
/loggedin/mechquest/q003_090_producttype.aspx	Solid objects
/loggedin/mechquest/q003_090_producttype.aspx	This category also includes liquids incorporated or on the surface of this material (e.g. preservative in timber).
/loggedin/mechquest/q003_090_producttype.aspx	Liquids
/loggedin/mechquest/q003_090_producttype.aspx	Powders dissolved in a liquid or incorporated in a liquid matrix (e.g. copper in anti-fouling paint)
